Avg student total points per grade,Total Points per Student,Grade,Points,Subject,Score,Student ID
36.93,52,C,6,Art,86,307
36.93,50,C,6,Art,86,313
36.93,48,C,6,Art,86,371
36.93,39,C,6,Art,85,129
36.93,49,C,6,Art,85,169
36.93,44,C,6,Art,85,303
36.93,39,C,6,Art,85,367
36.93,40,C,6,Art,85,473
36.93,43,C,6,Art,85,510
36.93,43,C,6,Art,85,607
36.93,41,C,6,Art,85,728
36.93,42,C,6,Art,84,8
36.93,45,C,6,Art,84,188
36.93,44,C,6,Art,84,194
36.93,46,C,6,Art,84,446
36.93,46,C,6,Art,84,497
36.93,40,C,6,Art,84,577
36.93,46,C,6,Art,84,582
36.93,42,C,6,Art,84,597
36.93,43,C,6,Art,84,659
36.93,46,C,6,Art,84,845
36.93,41,C,6,Art,84,952
36.93,40,C,6,Art,83,162
36.93,46,C,6,Art,83,201
36.93,39,C,6,Art,83,232
36.93,42,C,6,Art,83,318
36.93,44,C,6,Art,83,328
36.93,42,C,6,Art,83,333
36.93,40,C,6,Art,83,405
36.93,46,C,6,Art,83,572
36.93,46,C,6,Art,83,601
36.93,42,C,6,Art,83,788
36.93,47,C,6,Art,83,985
36.93,56,C,6,Art,82,16
36.93,50,C,6,Art,82,43
36.93,46,C,6,Art,82,161
36.93,46,C,6,Art,82,163
36.93,42,C,6,Art,82,191
36.93,39,C,6,Art,82,310
36.93,40,C,6,Art,82,312
36.93,43,C,6,Art,82,477
36.93,40,C,6,Art,82,536
36.93,44,C,6,Art,82,585
36.93,43,C,6,Art,81,44
36.93,52,C,6,Art,81,80
36.93,44,C,6,Art,81,156
36.93,44,C,6,Art,81,262
36.93,47,C,6,Art,81,435
36.93,50,C,6,Art,81,464
36.93,41,C,6,Art,81,486
36.93,40,C,6,Art,81,496
36.93,50,C,6,Art,81,680
36.93,39,C,6,Art,81,738
36.93,44,C,6,Art,81,754
36.93,42,C,6,Art,81,870
36.93,44,C,6,Art,80,17
36.93,42,C,6,Art,80,20
36.93,48,C,6,Art,80,99
36.93,42,C,6,Art,80,125
36.93,43,C,6,Art,80,407
36.93,42,C,6,Art,80,471
36.93,42,C,6,Art,80,620
35.0,41,D,4,Art,80,724
35.0,46,D,4,Art,80,782
35.0,45,D,4,Art,79,14
35.0,42,D,4,Art,79,86
35.0,52,D,4,Art,79,145
35.0,44,D,4,Art,79,227
35.0,44,D,4,Art,79,392
35.0,52,D,4,Art,79,515
35.0,52,D,4,Art,79,702
35.0,43,D,4,Art,78,325
35.0,48,D,4,Art,78,460
35.0,42,D,4,Art,78,483
35.0,43,D,4,Art,78,530
35.0,45,D,4,Art,78,559
35.0,44,D,4,Art,78,677
35.0,41,D,4,Art,78,705
35.0,46,D,4,Art,78,721
35.0,39,D,4,Art,78,770
35.0,58,D,4,Art,78,839
35.0,52,D,4,Art,78,867
35.0,56,D,4,Art,77,12
35.0,44,D,4,Art,77,58
35.0,44,D,4,Art,77,645
35.0,42,D,4,Art,77,725
35.0,40,D,4,Art,76,1
35.0,42,D,4,Art,76,100
35.0,42,D,4,Art,76,344
35.0,40,D,4,Art,76,637
35.0,40,D,4,Art,76,768
35.0,41,D,4,Art,76,829
35.0,50,D,4,Art,76,863
35.0,41,D,4,Art,75,182
35.0,44,D,4,Art,75,236
35.0,40,D,4,Art,75,241
35.0,46,D,4,Art,75,650
35.0,42,D,4,Art,75,777
35.0,43,D,4,Art,75,897
35.0,48,D,4,Art,75,911
35.0,44,D,4,Art,74,206
35.0,50,D,4,Art,74,220
35.0,44,D,4,Art,74,502
35.0,44,D,4,Art,74,627
35.0,44,D,4,Art,74,972
35.0,46,D,4,Art,73,131
35.0,41,D,4,Art,73,271
35.0,42,D,4,Art,73,485
35.0,40,D,4,Art,73,562
35.0,40,D,4,Art,73,691
35.0,44,D,4,Art,73,742
33.32,41,E,2,Art,72,368
33.32,43,E,2,Art,72,506
33.32,44,E,2,Art,72,516
33.32,39,E,2,Art,72,553
33.32,48,E,2,Art,72,609
33.32,39,E,2,Art,71,107
33.32,46,E,2,Art,71,314
33.32,48,E,2,Art,71,397
33.32,42,E,2,Art,71,538
33.32,40,E,2,Art,71,749
33.32,46,E,2,Art,70,198
33.32,48,E,2,Art,70,260
33.32,47,E,2,Art,70,504
33.32,43,E,2,Art,70,529
33.32,44,E,2,Art,70,532
33.32,46,E,2,Art,70,660
33.32,40,E,2,Art,70,802
33.32,44,E,2,Art,69,147
33.32,41,E,2,Art,69,193
33.32,52,E,2,Art,69,289
33.32,40,E,2,Art,69,651
33.32,42,E,2,Art,69,736
33.32,39,E,2,Art,69,815
33.32,45,E,2,Art,69,926
33.32,42,E,2,Art,68,164
33.32,42,E,2,Art,68,243
33.32,42,E,2,Art,68,523
33.32,48,E,2,Art,68,550
33.32,48,E,2,Art,68,962
33.32,54,E,2,Art,67,5
33.32,41,E,2,Art,67,117
33.32,46,E,2,Art,67,185
33.32,48,E,2,Art,67,350
33.32,42,E,2,Art,67,412
33.32,46,E,2,Art,67,533
33.32,42,E,2,Art,67,924
33.32,41,E,2,Art,66,489
33.32,41,E,2,Art,66,631
33.32,43,E,2,Art,66,658
31.8,39,F,1,Art,66,718
31.8,45,F,1,Art,66,799
31.8,39,F,1,Art,65,71
31.8,39,F,1,Art,65,170
31.8,47,F,1,Art,65,184
31.8,40,F,1,Art,65,390
31.8,41,F,1,Art,65,549
31.8,39,F,1,Art,65,710
31.8,40,F,1,Art,65,843
31.8,39,F,1,Art,65,998
31.8,41,F,1,Art,64,37
31.8,49,F,1,Art,64,259
31.8,39,F,1,Art,64,406
31.8,40,F,1,Art,64,640
31.8,41,F,1,Art,64,700
31.8,46,F,1,Art,64,715
31.8,40,F,1,Art,64,993
31.8,45,F,1,Art,63,263
31.8,51,F,1,Art,63,809
31.8,39,F,1,Art,62,123
31.8,39,F,1,Art,62,196
31.8,42,F,1,Art,62,449
31.8,43,F,1,Art,62,706
31.8,42,F,1,Art,62,720
31.8,40,F,1,Art,62,842
31.8,41,F,1,Art,61,66
31.8,49,F,1,Art,61,159
31.8,43,F,1,Art,61,176
31.8,39,F,1,Art,61,381
31.8,39,F,1,Art,61,410
31.8,43,F,1,Art,61,753
31.8,49,F,1,Art,60,22
31.8,51,F,1,Art,60,89
31.8,39,F,1,Art,60,451
31.8,43,F,1,Art,60,493
31.8,43,F,1,Art,60,541
31.8,43,F,1,Art,60,791
39.02,51,B,8,English,94,809
39.02,41,B,8,English,94,829
39.02,39,B,8,English,94,861
39.02,50,B,8,English,94,961
39.02,45,B,8,English,93,55
39.02,41,B,8,English,93,117
39.02,46,B,8,English,93,238
39.02,50,B,8,English,93,267
39.02,46,B,8,English,93,339
39.02,39,B,8,English,93,367
39.02,40,B,8,English,93,577
39.02,50,B,8,English,93,680
39.02,42,B,8,English,93,777
39.02,40,B,8,English,93,843
39.02,52,B,8,English,93,846
39.02,40,B,8,English,93,931
39.02,42,B,8,English,93,940
39.02,45,B,8,English,92,14
39.02,43,B,8,English,92,47
39.02,41,B,8,English,92,113
39.02,54,B,8,English,92,130
39.02,41,B,8,English,92,635
39.02,46,B,8,English,92,740
39.02,50,B,8,English,92,792
39.02,52,B,8,English,91,80
39.02,44,B,8,English,91,101
39.02,42,B,8,English,91,164
39.02,43,B,8,English,91,176
39.02,42,B,8,English,91,243
39.02,40,B,8,English,91,405
39.02,39,B,8,English,91,406
39.02,50,B,8,English,91,464
39.02,43,B,8,English,91,816
39.02,43,B,8,English,91,831
39.02,45,B,8,English,91,841
39.02,39,B,8,English,91,923
39.02,51,B,8,English,90,63
39.02,41,B,8,English,90,134
39.02,46,B,8,English,90,185
39.02,39,B,8,English,90,275
39.02,42,B,8,English,90,333
39.02,39,B,8,English,90,381
39.02,48,B,8,English,90,466
39.02,46,B,8,English,90,650
39.02,44,B,8,English,90,677
39.02,39,B,8,English,90,735
39.02,50,B,8,English,90,863
39.02,41,B,8,English,89,66
39.02,41,B,8,English,89,193
39.02,48,B,8,English,89,282
39.02,46,B,8,English,89,314
39.02,43,B,8,English,89,407
39.02,46,B,8,English,89,439
39.02,43,B,8,English,89,506
39.02,55,B,8,English,89,624
39.02,42,B,8,English,89,648
39.02,58,B,8,English,89,764
39.02,39,B,8,English,89,830
39.02,47,B,8,English,89,865
39.02,49,B,8,English,89,945
39.02,43,B,8,English,89,951
39.02,48,B,8,English,89,962
39.02,39,B,8,English,89,998
39.02,44,B,8,English,88,17
39.02,46,B,8,English,88,163
39.02,56,B,8,English,88,203
39.02,41,B,8,English,88,244
39.02,43,B,8,English,88,285
39.02,43,B,8,English,88,529
39.02,41,B,8,English,88,549
39.02,42,B,8,English,88,643
39.02,54,B,8,English,88,837
39.02,40,B,8,English,88,842
39.02,44,B,8,English,88,912
39.02,40,B,8,English,87,114
39.02,48,B,8,English,87,260
36.93,43,C,6,English,87,477
36.93,49,C,6,English,87,654
36.93,54,C,6,English,87,887
36.93,42,C,6,English,87,895
36.93,44,C,6,English,87,988
36.93,44,C,6,English,86,194
36.93,44,C,6,English,86,218
36.93,42,C,6,English,86,471
36.93,48,C,6,English,86,609
36.93,46,C,6,English,86,634
36.93,42,C,6,English,86,725
36.93,42,C,6,English,85,360
36.93,41,C,6,English,85,363
36.93,40,C,6,English,85,496
36.93,48,C,6,English,85,558
36.93,40,C,6,English,85,637
36.93,46,C,6,English,85,660
36.93,47,C,6,English,85,766
36.93,52,C,6,English,85,891
36.93,49,C,6,English,85,996
36.93,39,C,6,English,84,21
36.93,50,C,6,English,84,180
36.93,46,C,6,English,84,198
36.93,39,C,6,English,84,232
36.93,39,C,6,English,84,372
36.93,44,C,6,English,84,516
36.93,44,C,6,English,84,627
36.93,43,C,6,English,84,823
36.93,46,C,6,English,84,845
36.93,52,C,6,English,84,867
36.93,44,C,6,English,83,58
36.93,42,C,6,English,83,86
36.93,42,C,6,English,83,100
36.93,39,C,6,English,83,107
36.93,54,C,6,English,83,151
36.93,39,C,6,English,83,274
36.93,40,C,6,English,83,473
36.93,45,C,6,English,83,547
36.93,50,C,6,English,83,578
36.93,48,C,6,English,83,581
36.93,43,C,6,English,83,706
36.93,39,C,6,English,83,718
36.93,40,C,6,English,83,744
36.93,40,C,6,English,83,745
36.93,42,C,6,English,83,955
36.93,49,C,6,English,82,22
36.93,56,C,6,English,82,65
36.93,44,C,6,English,82,156
36.93,45,C,6,English,82,216
36.93,50,C,6,English,82,220
36.93,44,C,6,English,82,235
36.93,40,C,6,English,82,432
36.93,45,C,6,English,82,799
36.93,40,C,6,English,82,849
36.93,46,C,6,English,81,51
36.93,39,C,6,English,81,71
36.93,41,C,6,English,81,166
36.93,42,C,6,English,81,228
36.93,50,C,6,English,81,298
36.93,44,C,6,English,81,341
36.93,42,C,6,English,81,438
36.93,42,C,6,English,81,483
36.93,46,C,6,English,81,497
36.93,39,C,6,English,81,630
36.93,39,C,6,English,81,815
36.93,43,C,6,English,81,897
36.93,56,C,6,English,80,12
36.93,50,C,6,English,80,43
36.93,48,C,6,English,80,102
36.93,45,C,6,English,80,225
35.0,40,D,4,English,80,312
35.0,42,D,4,English,80,318
35.0,48,D,4,English,80,397
35.0,39,D,4,English,80,770
35.0,39,D,4,English,79,229
35.0,40,D,4,English,79,322
35.0,39,D,4,English,79,494
35.0,44,D,4,English,79,565
35.0,39,D,4,English,79,661
35.0,39,D,4,English,79,850
35.0,42,D,4,English,78,485
35.0,42,D,4,English,78,531
35.0,44,D,4,English,78,602
35.0,43,D,4,English,78,607
35.0,54,D,4,English,78,693
35.0,46,D,4,English,78,782
35.0,40,D,4,English,78,802
35.0,43,D,4,English,78,868
35.0,46,D,4,English,77,54
35.0,42,D,4,English,77,125
35.0,47,D,4,English,77,184
35.0,45,D,4,English,77,240
35.0,39,D,4,English,77,310
35.0,44,D,4,English,77,328
35.0,42,D,4,English,77,412
35.0,43,D,4,English,77,434
35.0,42,D,4,English,77,523
35.0,40,D,4,English,77,556
35.0,40,D,4,English,77,560
35.0,40,D,4,English,77,592
35.0,44,D,4,English,77,639
35.0,50,D,4,English,77,684
35.0,45,D,4,English,77,973
35.0,42,D,4,English,76,8
35.0,44,D,4,English,76,206
35.0,43,D,4,English,76,280
35.0,42,D,4,English,76,344
35.0,40,D,4,English,76,418
35.0,40,D,4,English,76,427
35.0,39,D,4,English,76,451
35.0,42,D,4,English,76,498
35.0,44,D,4,English,76,585
35.0,47,D,4,English,76,857
35.0,42,D,4,English,76,936
35.0,48,D,4,English,75,99
35.0,44,D,4,English,75,236
35.0,39,D,4,English,75,336
35.0,42,D,4,English,75,411
35.0,45,D,4,English,75,641
35.0,46,D,4,English,75,672
35.0,46,D,4,English,75,721
35.0,40,D,4,English,75,981
35.0,51,D,4,English,74,42
35.0,41,D,4,English,74,182
35.0,46,D,4,English,74,533
35.0,40,D,4,English,74,651
35.0,43,D,4,English,74,659
35.0,44,D,4,English,74,742
35.0,40,D,4,English,73,241
33.32,44,E,2,English,73,252
33.32,41,E,2,English,73,271
33.32,46,E,2,English,73,904
33.32,42,E,2,English,73,920
33.32,46,E,2,English,72,24
33.32,42,E,2,English,72,132
33.32,40,E,2,English,72,162
33.32,45,E,2,English,72,426
33.32,46,E,2,English,72,465
33.32,44,E,2,English,72,657
33.32,44,E,2,English,71,262
33.32,40,E,2,English,71,508
33.32,46,E,2,English,71,572
33.32,43,E,2,English,71,658
33.32,39,E,2,English,71,838
33.32,52,E,2,English,70,35
33.32,39,E,2,English,70,70
33.32,39,E,2,English,70,123
33.32,44,E,2,English,70,546
33.32,40,E,2,English,69,7
33.32,41,E,2,English,69,105
33.32,41,E,2,English,69,119
33.32,48,E,2,English,69,187
33.32,54,E,2,English,69,300
33.32,42,E,2,English,69,353
33.32,39,E,2,English,69,470
33.32,43,E,2,English,69,493
33.32,44,E,2,English,69,502
33.32,40,E,2,English,69,526
33.32,42,E,2,English,69,620
33.32,41,E,2,English,69,625
33.32,44,E,2,English,69,645
33.32,44,E,2,English,69,972
33.32,39,E,2,English,68,129
33.32,39,E,2,English,68,253
33.32,39,E,2,English,68,269
33.32,39,E,2,English,68,738
33.32,44,E,2,English,68,754
33.32,42,E,2,English,68,890
33.32,48,E,2,English,67,371
33.32,43,E,2,English,67,510
33.32,41,E,2,English,67,700
33.32,40,E,2,English,67,768
31.8,41,F,1,English,67,901
31.8,39,F,1,English,67,953
31.8,40,F,1,English,67,957
31.8,49,F,1,English,66,149
31.8,45,F,1,English,66,188
31.8,49,F,1,English,65,25
31.8,41,F,1,English,65,368
31.8,43,F,1,English,65,380
31.8,40,F,1,English,65,390
31.8,39,F,1,English,65,395
31.8,45,F,1,English,65,559
31.8,41,F,1,English,65,694
31.8,42,F,1,English,65,769
31.8,48,F,1,English,65,844
31.8,44,F,1,English,65,864
31.8,49,F,1,English,64,169
31.8,39,F,1,English,64,287
31.8,43,F,1,English,64,325
31.8,51,F,1,English,64,377
31.8,51,F,1,English,64,600
31.8,42,F,1,English,64,828
31.8,45,F,1,English,64,926
31.8,41,F,1,English,64,952
31.8,41,F,1,English,63,294
31.8,47,F,1,English,63,326
31.8,41,F,1,English,63,486
31.8,43,F,1,English,63,530
31.8,41,F,1,English,63,728
31.8,40,F,1,English,63,944
31.8,46,F,1,English,61,161
31.8,39,F,1,English,61,553
31.8,41,F,1,English,61,724
31.8,43,F,1,English,61,760
31.8,41,F,1,English,61,834
31.8,43,F,1,English,61,975
31.8,40,F,1,English,61,993
31.8,53,F,1,English,60,197
31.8,40,F,1,English,60,562
31.8,53,F,1,English,60,928
39.02,42,B,8,Geography,94,769
39.02,39,B,8,Geography,94,953
39.02,50,B,8,Geography,94,961
39.02,50,B,8,Geography,93,43
39.02,52,B,8,Geography,93,80
39.02,44,B,8,Geography,93,502
39.02,50,B,8,Geography,93,578
39.02,39,B,8,Geography,93,718
39.02,41,B,8,Geography,93,724
39.02,39,B,8,Geography,93,861
39.02,54,B,8,Geography,93,997
39.02,57,B,8,Geography,92,56
39.02,52,B,8,Geography,92,57
39.02,48,B,8,Geography,92,102
39.02,39,B,8,Geography,92,170
39.02,44,B,8,Geography,92,392
39.02,48,B,8,Geography,92,397
39.02,46,B,8,Geography,92,582
39.02,51,B,8,Geography,92,600
39.02,40,B,8,Geography,92,637
39.02,42,B,8,Geography,92,725
39.02,44,B,8,Geography,92,754
39.02,39,B,8,Geography,92,838
39.02,42,B,8,Geography,92,870
39.02,42,B,8,Geography,92,924
39.02,43,B,8,Geography,92,975
39.02,46,B,8,Geography,91,51
39.02,41,B,8,Geography,91,66
39.02,46,B,8,Geography,91,163
39.02,56,B,8,Geography,91,203
39.02,46,B,8,Geography,91,266
39.02,43,B,8,Geography,91,285
39.02,54,B,8,Geography,91,300
39.02,47,B,8,Geography,91,435
39.02,53,B,8,Geography,91,544
39.02,42,B,8,Geography,91,597
39.02,43,B,8,Geography,91,658
39.02,52,B,8,Geography,91,855
39.02,58,B,8,Geography,91,874
39.02,43,B,8,Geography,91,897
39.02,53,B,8,Geography,91,928
39.02,52,B,8,Geography,90,23
39.02,39,B,8,Geography,90,70
39.02,41,B,8,Geography,90,105
39.02,49,B,8,Geography,90,159
39.02,50,B,8,Geography,90,180
39.02,47,B,8,Geography,90,184
39.02,39,B,8,Geography,90,229
39.02,51,B,8,Geography,90,272
39.02,43,B,8,Geography,90,280
39.02,44,B,8,Geography,90,303
39.02,48,B,8,Geography,90,581
39.02,45,B,8,Geography,90,641
39.02,43,B,8,Geography,90,791
39.02,43,B,8,Geography,90,831
39.02,41,B,8,Geography,90,901
39.02,52,B,8,Geography,90,914
39.02,41,B,8,Geography,89,90
39.02,44,B,8,Geography,89,101
39.02,44,B,8,Geography,89,141
39.02,44,B,8,Geography,89,236
39.02,39,B,8,Geography,89,274
39.02,44,B,8,Geography,89,295
39.02,50,B,8,Geography,89,298
39.02,39,B,8,Geography,89,372
39.02,40,B,8,Geography,89,432
39.02,40,B,8,Geography,89,556
39.02,48,B,8,Geography,89,558
39.02,42,B,8,Geography,89,720
39.02,52,B,8,Geography,89,803
39.02,48,B,8,Geography,89,911
39.02,49,B,8,Geography,89,932
39.02,39,B,8,Geography,88,21
39.02,40,B,8,Geography,88,114
39.02,42,B,8,Geography,88,132
39.02,49,B,8,Geography,88,169
39.02,53,B,8,Geography,88,197
39.02,46,B,8,Geography,88,238
39.02,40,B,8,Geography,88,305
39.02,43,B,8,Geography,88,511
39.02,44,B,8,Geography,88,565
39.02,46,B,8,Geography,88,650
39.02,46,B,8,Geography,88,672
39.02,41,B,8,Geography,88,694
39.02,46,B,8,Geography,88,721
39.02,50,B,8,Geography,88,833
39.02,54,B,8,Geography,88,837
39.02,47,B,8,Geography,88,865
39.02,42,B,8,Geography,88,890
36.93,42,C,6,Geography,88,936
36.93,39,C,6,Geography,87,196
36.93,44,C,6,Geography,87,323
36.93,48,C,6,Geography,87,371
36.93,43,C,6,Geography,87,380
36.93,39,C,6,Geography,87,451
36.93,48,C,6,Geography,87,466
36.93,39,C,6,Geography,87,494
36.93,39,C,6,Geography,87,815
36.93,50,C,6,Geography,87,863
36.93,40,C,6,Geography,87,993
36.93,44,C,6,Geography,86,194
36.93,42,C,6,Geography,86,243
36.93,48,C,6,Geography,86,282
36.93,42,C,6,Geography,86,411
36.93,40,C,6,Geography,86,560
36.93,40,C,6,Geography,86,749
36.93,47,C,6,Geography,86,857
36.93,42,C,6,Geography,86,920
36.93,40,C,6,Geography,85,312
36.93,48,C,6,Geography,85,550
36.93,50,C,6,Geography,85,669
36.93,44,C,6,Geography,85,677
36.93,44,C,6,Geography,85,742
36.93,42,C,6,Geography,85,784
36.93,42,C,6,Geography,85,895
36.93,44,C,6,Geography,84,17
36.93,52,C,6,Geography,84,35
36.93,51,C,6,Geography,84,89
36.93,39,C,6,Geography,84,287
36.93,40,C,6,Geography,84,390
36.93,42,C,6,Geography,84,523
36.93,40,C,6,Geography,84,562
36.93,41,C,6,Geography,84,625
36.93,44,C,6,Geography,84,657
36.93,46,C,6,Geography,84,660
36.93,43,C,6,Geography,84,760
36.93,48,C,6,Geography,84,962
36.93,39,C,6,Geography,84,998
36.93,40,C,6,Geography,83,241
36.93,42,C,6,Geography,83,333
36.93,56,C,6,Geography,83,382
36.93,44,C,6,Geography,83,546
36.93,42,C,6,Geography,83,643
36.93,40,C,6,Geography,83,651
36.93,44,C,6,Geography,83,864
36.93,46,C,6,Geography,83,904
36.93,42,C,6,Geography,82,125
36.93,44,C,6,Geography,82,227
36.93,40,C,6,Geography,82,577
36.93,48,C,6,Geography,82,599
36.93,54,C,6,Geography,82,687
36.93,39,C,6,Geography,82,830
36.93,49,C,6,Geography,81,25
36.93,42,C,6,Geography,81,100
36.93,49,C,6,Geography,81,149
36.93,40,C,6,Geography,81,162
36.93,44,C,6,Geography,81,516
36.93,42,C,6,Geography,81,828
36.93,52,C,6,Geography,81,867
36.93,52,C,6,Geography,81,891
36.93,42,C,6,Geography,80,20
36.93,49,C,6,Geography,80,22
36.93,52,C,6,Geography,80,145
36.93,42,C,6,Geography,80,164
36.93,46,C,6,Geography,80,185
36.93,52,C,6,Geography,80,289
36.93,39,C,6,Geography,80,395
36.93,46,C,6,Geography,80,439
36.93,42,C,6,Geography,80,498
36.93,46,C,6,Geography,80,572
36.93,52,C,6,Geography,80,626
35.0,44,D,4,Geography,80,627
35.0,43,D,4,Geography,80,816
35.0,54,D,4,Geography,80,887
35.0,40,D,4,Geography,80,981
35.0,56,D,4,Geography,79,16
35.0,41,D,4,Geography,79,117
35.0,44,D,4,Geography,79,218
35.0,41,D,4,Geography,79,728
35.0,40,D,4,Geography,79,849
35.0,48,D,4,Geography,79,871
35.0,40,D,4,Geography,79,931
35.0,44,D,4,Geography,78,147
35.0,46,D,4,Geography,78,201
35.0,39,D,4,Geography,78,232
35.0,41,D,4,Geography,78,486
35.0,39,D,4,Geography,78,850
35.0,41,D,4,Geography,78,952
35.0,42,D,4,Geography,78,955
35.0,41,D,4,Geography,77,294
35.0,42,D,4,Geography,77,318
35.0,44,D,4,Geography,77,328
35.0,42,D,4,Geography,77,353
35.0,39,D,4,Geography,77,367
35.0,46,D,4,Geography,77,601
35.0,42,D,4,Geography,77,777
35.0,58,D,4,Geography,77,808
35.0,40,D,4,Geography,76,1
35.0,43,D,4,Geography,76,47
35.0,42,D,4,Geography,76,228
35.0,39,D,4,Geography,76,408
35.0,42,D,4,Geography,76,412
35.0,40,D,4,Geography,76,508
35.0,44,D,4,Geography,76,645
35.0,45,D,4,Geography,76,799
35.0,40,D,4,Geography,76,802
35.0,42,D,4,Geography,76,940
35.0,39,D,4,Geography,75,71
35.0,44,D,4,Geography,75,156
35.0,43,D,4,Geography,75,176
35.0,39,D,4,Geography,75,275
35.0,40,D,4,Geography,75,279
35.0,46,D,4,Geography,75,339
35.0,40,D,4,Geography,75,340
35.0,39,D,4,Geography,75,381
35.0,48,D,4,Geography,75,460
35.0,46,D,4,Geography,75,475
35.0,42,D,4,Geography,75,483
35.0,52,D,4,Geography,75,846
35.0,47,D,4,Geography,75,985
35.0,41,D,4,Geography,74,119
35.0,41,D,4,Geography,74,144
35.0,52,D,4,Geography,74,307
35.0,52,D,4,Geography,74,321
35.0,40,D,4,Geography,74,405
35.0,40,D,4,Geography,74,473
35.0,52,D,4,Geography,74,551
35.0,43,D,4,Geography,74,659
35.0,39,D,4,Geography,74,661
35.0,41,D,4,Geography,73,37
35.0,46,D,4,Geography,73,54
35.0,46,D,4,Geography,73,198
35.0,45,D,4,Geography,73,209
35.0,41,D,4,Geography,73,299
33.32,40,E,2,Geography,73,496
33.32,50,E,2,Geography,73,684
33.32,44,E,2,Geography,72,146
33.32,41,E,2,Geography,72,193
33.32,41,E,2,Geography,72,255
33.32,48,E,2,Geography,72,350
33.32,40,E,2,Geography,72,691
33.32,42,E,2,Geography,71,8
33.32,42,E,2,Geography,71,86
33.32,40,E,2,Geography,71,322
33.32,42,E,2,Geography,71,531
33.32,41,E,2,Geography,71,631
33.32,46,E,2,Geography,71,634
33.32,40,E,2,Geography,71,745
33.32,52,E,2,Geography,71,982
33.32,47,E,2,Geography,70,11
33.32,45,E,2,Geography,70,225
33.32,48,E,2,Geography,70,260
33.32,40,E,2,Geography,70,427
33.32,40,E,2,Geography,69,418
33.32,42,E,2,Geography,69,538
33.32,50,E,2,Geography,69,680
