Transaction_Date,Transanction_Number,Product_ID,Cash_or_Card,Loyalty_Number,Sales_Before_Discount
"Sat, January 02, 2021",20121046,Liquid-Lavender_Fields-0.5L,2,1001425.0,24.75
"Sat, January 02, 2021",20121047,Bar-Fresh_Rain-1x,1,1008728.0,4.83
"Sat, January 02, 2021",20121047,Bar-Ocean_Mist-2x,1,1008728.0,2.04
"Sat, January 02, 2021",20121047,Liquid-Vanilla_Bean-0.25L,1,1008728.0,9.22
"Sat, January 02, 2021",20121048,Liquid-Coconut_Dream-1L,1,1007911.0,7.5
"Sat, January 02, 2021",20121048,Liquid-Coconut_Dream-1L,1,1007911.0,15.0
"Sat, January 02, 2021",20121049,Liquid-Fresh_Rain-0.5L,1,1006774.0,9.0
"Sat, January 02, 2021",20121050,Bar-Sandalwood_Spice-1x,1,,18.75
"Sat, January 02, 2021",20121050,Liquid-Citrus_Breeze-0.5L,1,,7.44
"Sat, January 02, 2021",20121051,Bar-Rose_Garden-1x,2,1004476.0,4.9
"Sat, January 02, 2021",20121051,Liquid-Lavender_Fields-0.5L,2,1004476.0,24.75
"Sat, January 02, 2021",20121052,Liquid-Ocean_Mist-0.5L,1,,8.73
"Sat, January 02, 2021",20121053,Bar-Lavender_Fields-1x,2,,1.77
"Sat, January 02, 2021",20121053,Liquid-Vanilla_Bean-0.5L,2,,7.35
"Sat, January 02, 2021",20121054,Bar-Cedarwood_Forest-1x,2,,4.36
"Sat, January 02, 2021",20121054,Bar-Citrus_Breeze-2x,2,,10.1
"Sat, January 02, 2021",20121055,Bar-Fresh_Rain-4x,1,1004824.0,21.4
"Sat, January 02, 2021",20121056,Liquid-Citrus_Breeze-0.25L,2,1004947.0,7.3
"Sat, January 02, 2021",20121056,Liquid-Eucalyptus_Mint-1L,2,1004947.0,66.35
"Mon, January 04, 2021",40121001,Bar-Cedarwood_Forest-1x,1,1009658.0,10.9
"Mon, January 04, 2021",40121001,Bar-Fresh_Rain-2x,1,1009658.0,7.56
"Mon, January 04, 2021",40121002,Liquid-Citrus_Breeze-0.25L,2,1003366.0,5.84
"Mon, January 04, 2021",40121003,Bar-Fresh_Rain-4x,2,1001780.0,21.4
"Mon, January 04, 2021",40121004,Bar-Vanilla_Bean-1x,1,1000469.0,18.2
"Mon, January 04, 2021",40121005,Bar-Vanilla_Bean-1x,1,1009653.0,3.64
"Mon, January 04, 2021",40121006,Bar-Vanilla_Bean-2x,1,1002347.0,6.86
"Mon, January 04, 2021",40121006,Liquid-Eucalyptus_Mint-0.25L,1,1002347.0,9.0
"Mon, January 04, 2021",40121007,Bar-Citrus_Breeze-1x,2,1008604.0,2.43
"Mon, January 04, 2021",40121007,Bar-Rose_Garden-1x,2,1008604.0,9.8
"Mon, January 04, 2021",40121008,Liquid-Ocean_Mist-0.25L,2,,7.75
"Mon, January 04, 2021",40121008,Liquid-Eucalyptus_Mint-0.25L,2,,18.0
"Mon, January 04, 2021",40121008,Liquid-Rose_Garden-1L,2,,23.7
"Mon, January 04, 2021",40121009,Liquid-Citrus_Breeze-0.25L,2,1006299.0,2.92
"Mon, January 04, 2021",40121010,Liquid-Ocean_Mist-0.25L,2,,6.2
"Mon, January 04, 2021",40121011,Liquid-Vanilla_Bean-0.5L,2,1003430.0,22.05
"Mon, January 04, 2021",40121011,Liquid-Cedarwood_Forest-1L,2,1003430.0,27.04
"Mon, January 04, 2021",40121012,Bar-Citrus_Breeze-2x,1,1000820.0,10.1
"Mon, January 04, 2021",40121012,Bar-Ocean_Mist-4x,1,1000820.0,18.6
"Mon, January 04, 2021",40121013,Liquid-Citrus_Breeze-1L,2,1004323.0,29.6
"Mon, January 04, 2021",40121014,Bar-Cedarwood_Forest-1x,1,,4.36
"Mon, January 04, 2021",40121014,Liquid-Ocean_Mist-0.5L,1,,5.82
"Mon, January 04, 2021",40121015,Bar-Fresh_Rain-4x,2,1001153.0,21.4
"Mon, January 04, 2021",40121015,Liquid-Ocean_Mist-0.25L,2,1001153.0,1.55
"Mon, January 04, 2021",40121016,Bar-Sandalwood_Spice-2x,1,,30.28
"Mon, January 04, 2021",40121016,Liquid-Cedarwood_Forest-0.25L,1,,7.8
"Mon, January 04, 2021",40121017,Bar-Coconut_Dream-1x,1,1008238.0,13.7
"Mon, January 04, 2021",40121017,Liquid-Cedarwood_Forest-0.25L,1,1008238.0,7.8
"Mon, January 04, 2021",40121017,Liquid-Fresh_Rain-0.5L,1,1008238.0,6.75
"Mon, January 04, 2021",40121018,Bar-Ocean_Mist-1x,1,1006871.0,3.6
"Mon, January 04, 2021",40121018,Bar-Sandalwood_Spice-4x,1,1006871.0,31.96
"Mon, January 04, 2021",40121019,Liquid-Citrus_Breeze-0.25L,2,,7.3
"Mon, January 04, 2021",40121019,Liquid-Ocean_Mist-0.5L,2,,5.82
"Mon, January 04, 2021",40121020,Bar-Lavender_Fields-2x,2,1008534.0,2.41
"Mon, January 04, 2021",40121021,Bar-Sandalwood_Spice-1x,2,,15.0
"Mon, January 04, 2021",40121021,Bar-Vanilla_Bean-2x,2,,6.86
"Mon, January 04, 2021",40121021,Bar-Sandalwood_Spice-4x,2,,7.99
"Mon, January 04, 2021",40121022,Liquid-Lavender_Fields-0.5L,1,,9.9
"Mon, January 04, 2021",40121023,Bar-Ocean_Mist-4x,1,1009768.0,18.6
"Mon, January 04, 2021",40121024,Liquid-Ocean_Mist-0.25L,1,,7.75
"Mon, January 04, 2021",40121024,Liquid-Ocean_Mist-0.5L,1,,11.64
"Mon, January 04, 2021",40121024,Liquid-Lavender_Fields-1L,1,,24.27
"Mon, January 04, 2021",40121025,Bar-Fresh_Rain-1x,2,1008581.0,4.83
"Mon, January 04, 2021",40121025,Liquid-Fresh_Rain-0.25L,2,1008581.0,5.72
"Mon, January 04, 2021",40121026,Bar-Ocean_Mist-2x,1,1003139.0,6.12
"Mon, January 04, 2021",40121026,Bar-Lavender_Fields-4x,1,1003139.0,25.5
"Mon, January 04, 2021",40121026,Liquid-Vanilla_Bean-1L,1,1003139.0,37.5
"Mon, January 04, 2021",40121027,Bar-Citrus_Breeze-1x,2,1002485.0,0.81
"Mon, January 04, 2021",40121028,Bar-Rose_Garden-4x,2,1002371.0,25.11
"Mon, January 04, 2021",40121028,Liquid-Cedarwood_Forest-0.5L,2,1002371.0,21.95
"Mon, January 04, 2021",40121029,Bar-Ocean_Mist-1x,2,1004329.0,3.6
"Mon, January 04, 2021",40121029,Bar-Lavender_Fields-4x,2,1004329.0,20.4
"Mon, January 04, 2021",40121030,Bar-Lavender_Fields-1x,2,,7.08
"Mon, January 04, 2021",40121031,Bar-Vanilla_Bean-4x,2,1000860.0,70.96
"Mon, January 04, 2021",40121031,Liquid-Lavender_Fields-1L,2,1000860.0,40.45
"Mon, January 04, 2021",40121032,Bar-Fresh_Rain-1x,1,,8.05
"Mon, January 04, 2021",40121032,Bar-Citrus_Breeze-2x,1,,2.02
"Mon, January 04, 2021",40121033,Liquid-Vanilla_Bean-0.5L,2,1003136.0,36.75
"Mon, January 04, 2021",40121033,Liquid-Coconut_Dream-0.5L,2,1003136.0,8.24
"Mon, January 04, 2021",40121034,Liquid-Citrus_Breeze-0.25L,2,1000949.0,7.3
"Mon, January 04, 2021",40121035,Bar-Ocean_Mist-1x,1,1009403.0,4.8
"Mon, January 04, 2021",40121035,Bar-Fresh_Rain-1x,1,1009403.0,1.61
"Mon, January 04, 2021",40121035,Bar-Sandalwood_Spice-1x,1,1009403.0,7.5
"Mon, January 04, 2021",40121036,Bar-Sandalwood_Spice-1x,2,,3.75
"Mon, January 04, 2021",40121036,Bar-Vanilla_Bean-1x,2,,3.64
"Mon, January 04, 2021",40121036,Liquid-Coconut_Dream-1L,2,,22.5
"Mon, January 04, 2021",40121037,Bar-Citrus_Breeze-1x,1,1009160.0,1.62
"Mon, January 04, 2021",40121037,Bar-Lavender_Fields-4x,1,1009160.0,10.2
"Mon, January 04, 2021",40121037,Liquid-Rose_Garden-0.5L,1,1009160.0,21.15
"Mon, January 04, 2021",40121038,Liquid-Fresh_Rain-0.25L,1,1003175.0,7.15
"Mon, January 04, 2021",40121039,Liquid-Coconut_Dream-0.5L,2,1009291.0,16.48
"Mon, January 04, 2021",40121039,Liquid-Lavender_Fields-1L,2,1009291.0,32.36
"Mon, January 04, 2021",40121040,Bar-Vanilla_Bean-4x,2,1008061.0,17.74
"Mon, January 04, 2021",40121040,Bar-Coconut_Dream-4x,2,1008061.0,19.26
"Mon, January 04, 2021",40121040,Bar-Coconut_Dream-4x,2,1008061.0,38.52
"Mon, January 04, 2021",40121041,Liquid-Fresh_Rain-1L,2,1000365.0,32.6
"Mon, January 04, 2021",40121042,Bar-Sandalwood_Spice-4x,2,1009471.0,39.95
"Mon, January 04, 2021",40121043,Bar-Vanilla_Bean-1x,1,1002525.0,18.2
"Mon, January 04, 2021",40121043,Liquid-Coconut_Dream-0.5L,1,1002525.0,4.12
"Mon, January 04, 2021",40121043,Liquid-Vanilla_Bean-1L,1,1002525.0,37.5
"Mon, January 04, 2021",40121044,Liquid-Coconut_Dream-0.25L,2,,2.38
"Mon, January 04, 2021",40121044,Liquid-Eucalyptus_Mint-0.5L,2,,26.64
"Mon, January 04, 2021",40121044,Liquid-Sandalwood_Spice-1L,2,,65.95
"Mon, January 04, 2021",40121045,Bar-Sandalwood_Spice-2x,1,1009553.0,30.28
"Mon, January 04, 2021",40121045,Bar-Rose_Garden-4x,1,1009553.0,16.74
"Mon, January 04, 2021",40121046,Bar-Sandalwood_Spice-2x,2,1002723.0,7.57
"Mon, January 04, 2021",40121046,Bar-Lavender_Fields-4x,2,1002723.0,20.4
"Mon, January 04, 2021",40121046,Liquid-Citrus_Breeze-1L,2,1002723.0,11.84
"Mon, January 04, 2021",40121047,Bar-Cedarwood_Forest-1x,1,,8.72
"Mon, January 04, 2021",40121047,Bar-Eucalyptus_Mint-4x,1,,16.6
"Mon, January 04, 2021",40121048,Bar-Citrus_Breeze-2x,1,1002140.0,6.06
"Mon, January 04, 2021",40121048,Bar-Coconut_Dream-4x,1,1002140.0,28.89
"Mon, January 04, 2021",40121049,Liquid-Eucalyptus_Mint-0.5L,1,1005677.0,26.64
"Mon, January 04, 2021",40121049,Liquid-Cedarwood_Forest-0.5L,1,1005677.0,17.56
"Mon, January 04, 2021",40121050,Bar-Cedarwood_Forest-1x,1,1003693.0,4.36
"Mon, January 04, 2021",40121050,Bar-Rose_Garden-2x,1,1003693.0,9.51
"Mon, January 04, 2021",40121051,Liquid-Ocean_Mist-0.25L,1,1004688.0,6.2
"Mon, January 04, 2021",40121052,Liquid-Rose_Garden-0.5L,1,1007985.0,14.1
"Mon, January 04, 2021",40121053,Liquid-Rose_Garden-0.5L,1,,28.2
"Mon, January 04, 2021",40121053,Liquid-Fresh_Rain-1L,1,,32.6
"Mon, January 04, 2021",40121054,Liquid-Vanilla_Bean-0.25L,1,1002563.0,4.61
"Mon, January 04, 2021",40121054,Liquid-Lavender_Fields-0.5L,1,1002563.0,24.75
"Tue, January 05, 2021",50121001,Bar-Ocean_Mist-4x,2,1001279.0,13.95
"Tue, January 05, 2021",50121001,Liquid-Rose_Garden-1L,2,1001279.0,35.55
"Tue, January 05, 2021",50121002,Bar-Vanilla_Bean-2x,2,1002197.0,6.86
"Tue, January 05, 2021",50121002,Liquid-Lavender_Fields-0.25L,2,1002197.0,9.2
"Tue, January 05, 2021",50121002,Liquid-Fresh_Rain-0.5L,2,1002197.0,4.5
"Tue, January 05, 2021",50121003,Liquid-Vanilla_Bean-0.25L,2,1004361.0,23.05
"Tue, January 05, 2021",50121004,Bar-Cedarwood_Forest-2x,2,1008385.0,12.2
"Tue, January 05, 2021",50121004,Liquid-Citrus_Breeze-1L,2,1008385.0,5.92
"Tue, January 05, 2021",50121005,Bar-Coconut_Dream-1x,2,1008076.0,13.7
"Tue, January 05, 2021",50121005,Bar-Lavender_Fields-4x,2,1008076.0,5.1
"Tue, January 05, 2021",50121005,Liquid-Lavender_Fields-0.25L,2,1008076.0,2.3
"Tue, January 05, 2021",50121006,Bar-Fresh_Rain-2x,1,1009779.0,5.67
"Tue, January 05, 2021",50121006,Bar-Rose_Garden-2x,1,1009779.0,3.17
"Tue, January 05, 2021",50121006,Liquid-Vanilla_Bean-1L,1,1009779.0,37.5
"Tue, January 05, 2021",50121007,Bar-Coconut_Dream-4x,1,1004025.0,48.15
"Tue, January 05, 2021",50121007,Liquid-Eucalyptus_Mint-1L,1,1004025.0,66.35
"Tue, January 05, 2021",50121008,Bar-Eucalyptus_Mint-1x,2,1003348.0,3.49
"Tue, January 05, 2021",50121008,Bar-Coconut_Dream-2x,2,1003348.0,4.32
"Tue, January 05, 2021",50121009,Bar-Cedarwood_Forest-1x,2,1007280.0,6.54
"Tue, January 05, 2021",50121009,Bar-Ocean_Mist-2x,2,1007280.0,10.2
"Tue, January 05, 2021",50121010,Liquid-Cedarwood_Forest-0.25L,1,,6.24
"Tue, January 05, 2021",50121011,Bar-Lavender_Fields-2x,1,1004061.0,7.23
"Tue, January 05, 2021",50121011,Bar-Sandalwood_Spice-4x,1,1004061.0,31.96
"Tue, January 05, 2021",50121012,Liquid-Lavender_Fields-0.5L,1,1008526.0,19.8
"Tue, January 05, 2021",50121013,Liquid-Vanilla_Bean-0.5L,2,1000383.0,36.75
"Tue, January 05, 2021",50121014,Bar-Eucalyptus_Mint-4x,2,,33.2
"Tue, January 05, 2021",50121014,Liquid-Lavender_Fields-0.5L,2,,24.75
"Tue, January 05, 2021",50121014,Liquid-Rose_Garden-0.5L,2,,14.1
"Tue, January 05, 2021",50121015,Bar-Cedarwood_Forest-2x,2,1008746.0,3.05
"Tue, January 05, 2021",50121015,Bar-Coconut_Dream-4x,2,1008746.0,48.15
"Tue, January 05, 2021",50121016,Bar-Rose_Garden-4x,1,,8.37
"Tue, January 05, 2021",50121017,Bar-Sandalwood_Spice-2x,2,1000018.0,15.14
"Tue, January 05, 2021",50121017,Bar-Vanilla_Bean-4x,2,1000018.0,35.48
"Tue, January 05, 2021",50121018,Bar-Ocean_Mist-1x,2,1002014.0,4.8
"Tue, January 05, 2021",50121018,Liquid-Lavender_Fields-0.25L,2,1002014.0,6.9
"Tue, January 05, 2021",50121019,Bar-Vanilla_Bean-4x,2,1006595.0,53.22
"Tue, January 05, 2021",50121019,Liquid-Cedarwood_Forest-0.25L,2,1006595.0,7.8
"Tue, January 05, 2021",50121020,Bar-Eucalyptus_Mint-2x,2,1004679.0,6.23
"Tue, January 05, 2021",50121020,Bar-Cedarwood_Forest-2x,2,1004679.0,12.2
"Tue, January 05, 2021",50121021,Liquid-Sandalwood_Spice-0.5L,2,1003289.0,9.56
"Tue, January 05, 2021",50121021,Liquid-Fresh_Rain-1L,2,1003289.0,16.3
"Tue, January 05, 2021",50121022,Bar-Lavender_Fields-4x,2,1003674.0,5.1
"Tue, January 05, 2021",50121022,Bar-Eucalyptus_Mint-4x,2,1003674.0,24.9
"Tue, January 05, 2021",50121023,Bar-Ocean_Mist-1x,1,1005993.0,4.8
"Tue, January 05, 2021",50121023,Liquid-Citrus_Breeze-1L,1,1005993.0,11.84
"Tue, January 05, 2021",50121024,Liquid-Citrus_Breeze-0.5L,1,1001207.0,12.4
"Tue, January 05, 2021",50121024,Liquid-Fresh_Rain-0.5L,1,1001207.0,2.25
"Tue, January 05, 2021",50121025,Bar-Rose_Garden-2x,1,1001956.0,9.51
"Tue, January 05, 2021",50121025,Bar-Coconut_Dream-2x,1,1001956.0,21.6
"Tue, January 05, 2021",50121026,Bar-Cedarwood_Forest-4x,1,1005769.0,15.9
"Tue, January 05, 2021",50121026,Liquid-Citrus_Breeze-0.25L,1,1005769.0,2.92
"Tue, January 05, 2021",50121027,Bar-Eucalyptus_Mint-1x,1,,6.98
"Tue, January 05, 2021",50121027,Bar-Eucalyptus_Mint-1x,1,,10.47
"Tue, January 05, 2021",50121027,Bar-Lavender_Fields-4x,1,,20.4
"Tue, January 05, 2021",50121028,Bar-Ocean_Mist-2x,2,1007337.0,2.04
"Tue, January 05, 2021",50121029,Liquid-Ocean_Mist-0.5L,2,1000450.0,11.64
"Tue, January 05, 2021",50121029,Liquid-Eucalyptus_Mint-0.5L,2,1000450.0,8.88
"Tue, January 05, 2021",50121030,Bar-Citrus_Breeze-1x,1,1005026.0,1.62
"Tue, January 05, 2021",50121031,Bar-Lavender_Fields-2x,1,,4.82
"Tue, January 05, 2021",50121031,Liquid-Sandalwood_Spice-1L,1,,26.38
"Tue, January 05, 2021",50121032,Bar-Citrus_Breeze-1x,1,1003640.0,1.62
"Tue, January 05, 2021",50121032,Liquid-Sandalwood_Spice-1L,1,1003640.0,13.19
"Tue, January 05, 2021",50121033,Liquid-Lavender_Fields-0.5L,2,1001298.0,9.9
"Tue, January 05, 2021",50121034,Bar-Rose_Garden-4x,1,1003249.0,41.85
"Tue, January 05, 2021",50121034,Liquid-Ocean_Mist-0.5L,1,1003249.0,11.64
"Tue, January 05, 2021",50121035,Bar-Fresh_Rain-1x,2,1007968.0,4.83
"Tue, January 05, 2021",50121035,Bar-Coconut_Dream-2x,2,1007968.0,12.96
"Tue, January 05, 2021",50121035,Bar-Cedarwood_Forest-4x,2,1007968.0,5.3
"Tue, January 05, 2021",50121036,Bar-Ocean_Mist-1x,2,1008821.0,2.4
"Tue, January 05, 2021",50121036,Liquid-Fresh_Rain-0.5L,2,1008821.0,6.75
"Tue, January 05, 2021",50121037,Bar-Sandalwood_Spice-2x,2,1004055.0,22.71
"Tue, January 05, 2021",50121037,Bar-Eucalyptus_Mint-4x,2,1004055.0,8.3
"Tue, January 05, 2021",50121038,Bar-Coconut_Dream-4x,1,1008178.0,38.52
"Tue, January 05, 2021",50121038,Liquid-Vanilla_Bean-0.5L,1,1008178.0,29.4
"Tue, January 05, 2021",50121038,Liquid-Cedarwood_Forest-1L,1,1008178.0,27.04
"Tue, January 05, 2021",50121039,Bar-Ocean_Mist-2x,2,,4.08
"Tue, January 05, 2021",50121040,Bar-Ocean_Mist-2x,2,1000071.0,6.12
"Tue, January 05, 2021",50121041,Bar-Citrus_Breeze-1x,1,1002955.0,1.62
"Tue, January 05, 2021",50121041,Bar-Rose_Garden-1x,1,1002955.0,7.35
"Tue, January 05, 2021",50121041,Bar-Sandalwood_Spice-1x,1,1002955.0,3.75
"Tue, January 05, 2021",50121042,Bar-Coconut_Dream-1x,1,1006640.0,5.48
"Tue, January 05, 2021",50121042,Liquid-Eucalyptus_Mint-0.25L,1,1006640.0,4.5
"Tue, January 05, 2021",50121043,Bar-Vanilla_Bean-2x,1,1004921.0,13.72
"Tue, January 05, 2021",50121044,Bar-Fresh_Rain-1x,2,1004227.0,1.61
"Tue, January 05, 2021",50121044,Bar-Vanilla_Bean-2x,2,1004227.0,34.3
"Tue, January 05, 2021",50121044,Bar-Rose_Garden-4x,2,1004227.0,33.48
"Tue, January 05, 2021",50121045,Bar-Coconut_Dream-2x,2,,21.6
"Tue, January 05, 2021",50121045,Liquid-Lavender_Fields-0.25L,2,,9.2
"Tue, January 05, 2021",50121045,Liquid-Rose_Garden-0.25L,2,,7.6
"Tue, January 05, 2021",50121046,Liquid-Citrus_Breeze-1L,1,1009621.0,17.76
"Tue, January 05, 2021",50121047,Liquid-Lavender_Fields-0.5L,1,1002249.0,9.9
"Tue, January 05, 2021",50121047,Liquid-Cedarwood_Forest-0.5L,1,1002249.0,8.78
"Tue, January 05, 2021",50121047,Liquid-Coconut_Dream-1L,1,1002249.0,22.5
"Tue, January 05, 2021",50121048,Liquid-Eucalyptus_Mint-1L,2,1008460.0,53.08
"Tue, January 05, 2021",50121049,Liquid-Vanilla_Bean-0.25L,2,,23.05
"Tue, January 05, 2021",50121050,Bar-Fresh_Rain-4x,1,1009326.0,4.28
