Movie,Year,Pass/Fail,Ranking,Categorisation
'Merci la vie',1991,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
'Tamara Drewe',2010,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
"'night, Mother",1986,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
(500) Days of Summer,2009,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
(Untitled),2009,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
+1,2013,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
...And God Created Woman,1956,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
...E tu vivrai nel terrore! L'aldila (The Beyond),1981,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
1,2009,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
10 Cloverfield Lane,2016,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
10 Days In A Madhouse,2016,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
10 Rillington Place,1971,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
10 Things I Hate About You,1999,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
"10,000 BC",2008,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
101 Dalmatians,1996,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
102 Dalmatians,2000,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
11 Flowers,2011,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
12 Angry Men,1957,Fail,5,Fewer than two women in this movie
12 Dates of Christmas,2011,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
12 Men of Christmas,2009,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
12 Years a Slave,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
12 feet deep,2017,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
127 Hours,2010,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
13 Assassins,2010,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
13 Going on 30,2004,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
13 Hours,2016,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
13 Minutes,2021,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
13 Tzameti,2005,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
138 segons. L'enigma Girones,2013,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
1408,2007,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
16 Wishes,2010,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
17 Again,2009,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
17 Girls,2011,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
17 Miracles,2011,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
1776,1972,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
18 Presents,2020,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
18 comidas,2010,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
1917,2019,Fail,5,Fewer than two women in this movie
1922,2017,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
2 Coelhos,2012,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
2 Days in New York,2012,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
2 Days in Paris,2007,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
2 Days in the Valley,1996,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
2 Fast 2 Furious,2003,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
2 Guns,2013,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
2 seconds,1998,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
20 Feet from Stardom,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
20 centimetros,2005,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
200 Cigarettes,1999,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
20000 Leagues Under the Sea,1954,Fail,5,Fewer than two women in this movie
2001: A Space Odyssey,1968,Fail,5,Fewer than two women in this movie
2010,1984,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
2012,2009,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
2046,2004,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
20th Century Women,2016,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
21,2008,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
21 & Over,2013,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
21 Jump Street,2012,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
21 grams,2003,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
22 Bullets / L'immortel,2010,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
22 Jump St,2014,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
24 Hour Party People,2002,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
25th Hour,2002,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
27 Dresses,2008,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
28 Days,2000,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
28 Days Later...,2002,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
28 Weeks Later,2007,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
2LDK,2003,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
3 Days to Kill,2014,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
3 Idiots,2009,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
3 Men and a Baby,1987,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
3 Women,1977,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
3-Iron,2004,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
30 Days of Night,2007,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
30 Days of Night: Dark Days,2010,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
30 Minutes or Less,2011,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
300,2006,Fail,5,Fewer than two women in this movie
300 Worte Deutsch,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
300: Rise of an Empire,2014,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
3096 Tage,2013,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
35 Shots of Rum,2008,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
3:10 to Yuma,2007,Fail,5,Fewer than two women in this movie
"4 Months, 3 Weeks and 2 Days",2007,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
4.3.2.1,2010,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
42,2013,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
42nd Street,1933,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
44 Inch Chest,2009,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
45 Years,2015,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
47 Meters Down,2017,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
47 Meters Down: Uncaged,2019,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
47 Ronin,2013,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
48 Hrs.,1982,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
49th Parallel,1941,Fail,5,Fewer than two women in this movie
5 Centimeters Per Second,2007,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
5 Flights Up,2014,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
50 First Dates,2004,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
50/50,2011,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
52 Tuesdays,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
54,1998,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
55 Days at Peking,1963,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
5ive Girls,2006,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
6 Balloons,2018,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
6 days,2017,Fail,5,Fewer than two women in this movie
600 millas [600 Miles],2015,Fail,5,Fewer than two women in this movie
6ixtynin9,1999,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
7 Letters,2015,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
7500,2019,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
8 Mile,2002,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
8 femmes,2002,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
84 Charing Cross Road,1987,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
88 Minutes,2007,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
8MM,1999,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
8½,1963,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
9,2009,Fail,5,Fewer than two women in this movie
9 Songs,2004,Fail,5,Fewer than two women in this movie
99 francs,2007,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
A 2nd Chance,2011,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Bad Moms Christmas,2017,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Bag of Hammers,2010,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
A Beautiful Day in the Neighborhood,2019,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
A Beautiful Mind,2001,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
A Better Tomorrow,1986,Fail,5,Fewer than two women in this movie
A Better Tomorrow II,1987,Fail,5,Fewer than two women in this movie
A Big Hand for the Little Lady,1966,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
A Bittersweet Life (Dalkomhan insaeng),2005,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
A Bridge Too Far,1977,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
A Brilliant Young Mind,2014,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
A Bucket of Blood,1959,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
A Bug's Life,1998,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Call to Spy,2019,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Canterbury Tale,1944,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Case of You,2013,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
A Charlie Brown Thanksgiving,1973,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
A Chorus Line,1985,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Christmas Carol: The Musical,2004,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
A Christmas Prince,2017,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Christmas Story,1983,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
A Chump at Oxford,1940,Fail,5,Fewer than two women in this movie
A Cinderella Story,2004,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Classic Horror Story,2021,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
A Clockwork Orange,1971,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
A Countess from Hong Kong,1967,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Country Called Home,2015,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Crime,2006,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
A Cure for Wellness,2016,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
A Dangerous Method,2011,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
A Dark Song,2016,Fail,5,Fewer than two women in this movie
"A Dark, Dark Man",2019,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
A Day at the Races,1937,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
A Dirty Shame,2004,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Dog's Journey,2019,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Dog's Purpose,2017,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
A Doll's House,1973,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
A Face in the Crowd,1957,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
A Few Days in September,2006,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Few Good Men,1992,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
A Field in England,2013,Fail,5,Fewer than two women in this movie
A Fish Called Wanda,1988,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Florida Enchantment,1914,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
A Funny Shave,1906,Fail,5,Fewer than two women in this movie
A German Youth,2015,Fail,5,Fewer than two women in this movie
A Ghost Story,2017,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
A Girl Walks Home Alone at Night,2014,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Girl in Every Port,1928,Fail,5,Fewer than two women in this movie
A Good Baby,2000,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Good Day to Die Hard,2013,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
A Good Woman,2004,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Goofy Movie,1995,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
A Guide to Recognizing Your Saints,2006,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
A Halloween Puppy,2012,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
A Happy Event,2011,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Hard Day's Night,1964,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
A Haunted House,2013,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
A Haunting at Silver Falls,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A History of Violence,2005,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Home at the End of The World,2004,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
"A Jin de gushi / Ah Kam, the Stunt woman",1996,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
A Knight's Tale,2001,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
A Late Quartet,2012,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A League of Their Own,1992,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Letter to Three Wives,1949,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Life Less Ordinary,1997,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
A Little Bit of Heaven,2011,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Little Chaos,2015,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
A Little Help,2010,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Little Night Music,1977,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Little Night Music,1990,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Lonely Place to Die,2011,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Long Way Down,2014,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Love Song for Bobby Long,2004,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Man Wanted (Hatooly Ragel),2017,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
A Man for All Seasons,1966,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
A Marine Story,2010,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Midsummer Night's Dream,1999,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
A Million Ways to Die in the West,2014,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
A Monster Calls,2016,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
A Most Violent Year,2014,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Most Wanted Man,2014,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
A New Christmas,2019,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
A New Leaf,1971,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Night At The Opera,1935,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
A Nightmare on Elm Street,2010,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Nightmare on Elm Street 2: Freddy's Revenge,1985,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Nightmare on Elm Street 3: Dream Warriors,1987,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Nightmare on Elm Street 4: The Dream Master,1988,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Nightmare on Elm Street 5: The Dream Child,1989,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Noite da Virada,2014,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Nous la Liberte,1931,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
A Passage to India,1984,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Patch of Blue,1965,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Perfect Day,2015,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
A Perfect Getaway,2009,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
A Perfect Murder,1998,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Perfect Stranger,2007,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Picture of You,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Prairie Home Companion,2006,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Private Function,1984,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Prophet (Un Prophete),2009,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
A Quiet Passion,2016,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Quiet Place,2018,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Quiet Place Part II,2020,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
A Raisin in the Sun,1961,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Ring of Endless Light,2002,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A River Runs Through It,1992,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
A Romance of the Redwoods,1917,Fail,5,Fewer than two women in this movie
A Room with a View,1985,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Royal Affair,2012,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Royal Night Out,2015,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
A Royal Winter,2017,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Scanner Darkly,2006,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
A Separate Peace,2004,Fail,5,Fewer than two women in this movie
A Separation,2011,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Serious Man,2009,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
A Simple Favor,2018,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Simple Life,2011,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Simple Wish,1997,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Single Man,2009,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
A Soldier's Story,1984,Fail,5,Fewer than two women in this movie
A Sort of Homecoming,2015,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Special Day,1977,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
A Star Is Born,1954,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
A Star Is Born,1976,Fail,5,Fewer than two women in this movie
A Star Is Born,2018,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Streetcar Named Desire,1951,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Study in Scarlet,1933,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
A Study in Terror,1965,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
A Tale of Springtime,1990,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Tale of Two Cities,1917,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Tale of Two Sisters,2003,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Talking Cat!?!,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Taste of Honey,1961,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Teacher,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Thousand Words,2012,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
A Time for Killing,1967,Fail,5,Fewer than two women in this movie
A Touch of Class,1973,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
A Town Called Panic,2009,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
A Trip to Mars,1910,Fail,5,Fewer than two women in this movie
A Turn of the Century Illusionist,1899,Fail,5,Fewer than two women in this movie
A United Kingdom,2016,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Very Harold & Kumar 3D Christmas,2011,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
A Very Long Engagement,2004,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A View to a Kill,1985,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
A Walk Among the Tombstones,2014,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
A Walk in the Woods,2015,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
A Walk on the Moon,1999,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Walk to Remember,2002,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Wednesday,2008,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
A Woman Called Moses,1978,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Woman Is a Woman,1961,Fail,5,Fewer than two women in this movie
A Woman Under The Influence,1974,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A Woman of Paris,1923,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
A Wrinkle in Time,2018,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A bout de souffle,1960,Fail,5,Fewer than two women in this movie
A boy and His Dog,1975,Fail,5,Fewer than two women in this movie
A coup sur,2014,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
A fost sau n-a fost?,2006,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
A hidember,2002,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
A la folie... pas du tout,2002,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A little princess,1995,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A man of integrity,2017,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A mi madre le gustan las mujeres,2002,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A nightmare on Elm Street,1984,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A perfect world,1993,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
A private war,2018,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
A shot in the dark,1964,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
A torinoi lo,2011,Fail,5,Fewer than two women in this movie
A tus espaldas,2011,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A.M.I.,2019,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
A.P.E.X.,1994,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
ABBA: The Movie,1977,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
AEon Flux,2005,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
AVP: Alien vs. Predator,2004,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Aanrijding in Moscou,2008,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Abbott and Costello Meet Frankenstein,1948,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Abduction,2011,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Abel,2010,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Abel Gance's Napoleon,1927,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Abominable,2019,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
About Cherry,2012,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
About Elly,2009,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
About Last Night,1986,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
About Last Night,2014,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
About Schmidt,2002,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
About Sunny,2011,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
About Time,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
About a Boy,2002,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
About a Girl,2014,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Abraham Lincoln: Vampire Hunter,2012,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Absence of Malice,1981,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Absentia,2011,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Absolutely Anything,2015,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Absolutely Fabulous: The Movie,2016,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Accattone,1961,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
